battle,battleLabel,year,location,locationLabel,locationCoordinates,country,countryLabel
http://www.wikidata.org/entity/Q17515427,Battle of Bascara,1795,http://www.wikidata.org/entity/Q11232,Bàscara,Point(2.911 42.162),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q1028247,Battle of Groix,1795,http://www.wikidata.org/entity/Q70086,Groix,Point(-3.5867 47.6392),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q768793,Q768793,1795,http://www.wikidata.org/entity/Q504931,Les Essarts,Point(-1.226944444 46.774444444),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890929,Q2890929,1795,http://www.wikidata.org/entity/Q70925,Carnac,Point(-3.073333333 47.587777777),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888120,Q2888120,1795,http://www.wikidata.org/entity/Q1069114,Beaulieu-sous-la-Roche,Point(-1.608888888 46.677777777),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888720,Q2888720,1795,http://www.wikidata.org/entity/Q923382,Guémené-Penfao,Point(-1.8314 47.6308),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889887,Q2889887,1795,http://www.wikidata.org/entity/Q127874,Plouharnel,Point(-3.1356 47.6078),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2890671,Q2890671,1795,http://www.wikidata.org/entity/Q210584,Les Iffs,Point(-1.86556 48.28861),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2887940,Q2887940,1795,http://www.wikidata.org/entity/Q69601,Elven,Point(-2.5894 47.7322),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888854,Q2888854,1795,http://www.wikidata.org/entity/Q71500,Josselin,Point(-2.5472 47.9567),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889624,Q2889624,1795,http://www.wikidata.org/entity/Q127874,Plouharnel,Point(-3.135627777 47.607638888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889632,Q2889632,1795,http://www.wikidata.org/entity/Q238377,Pont-Aven,Point(-3.75 47.85),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888354,Q2888354,1795,http://www.wikidata.org/entity/Q225207,Coëtlogon,Point(-2.5428 48.1425),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889719,Q2889719,1795,http://www.wikidata.org/entity/Q207853,Quintin,Point(-2.9081 48.4044),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889945,Battle of Segré,1795,http://www.wikidata.org/entity/Q549330,Segré,Point(-0.8708 47.6872),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889716,Battle of Quiberon (1795),1795,http://www.wikidata.org/entity/Q2867477,Quiberon Peninsula,Point(-3.1192 47.4842),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889092,Q2889092,1795,http://www.wikidata.org/entity/Q1806510,Lascahobas,Point(-71.933333333 18.816666666),http://www.wikidata.org/entity/Q790,Haiti
http://www.wikidata.org/entity/Q2889596,Q2889596,1795,http://www.wikidata.org/entity/Q2711253,Petite Rivière de l'Artibonite,Point(-72.483 19.133),http://www.wikidata.org/entity/Q790,Haiti
http://www.wikidata.org/entity/Q2888995,Q2888995,1795,http://www.wikidata.org/entity/Q540940,Carquefou,Point(-1.467928888 47.344053611),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889023,Q2889023,1795,http://www.wikidata.org/entity/Q1103438,La Cornuaille,Point(-0.983611111 47.511666666),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q3401665,Q3401665,1795,http://www.wikidata.org/entity/Q35708313,La Croix-Avranchin,Point(-1.38222 48.5467),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1977699,Battle of Muizenberg,1795,http://www.wikidata.org/entity/Q4807130,Dutch Cape Colony,,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q4872909,Battle of the Diamond,1795,http://www.wikidata.org/entity/Q192761,County Armagh,Point(-6.6 54.411),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q16840995,Battle of Handschuhsheim,1795,http://www.wikidata.org/entity/Q2966,Heidelberg,Point(8.6869 49.4289),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q2889848,Q2889848,1795,http://www.wikidata.org/entity/Q1069004,La Bretonnière-la-Claye,Point(-1.335555555 46.461388888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2889275,Q2889275,1795,http://www.wikidata.org/entity/Q1074547,Martigné-Ferchaud,Point(-1.3183 47.8278),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888827,Q2888827,1795,http://www.wikidata.org/entity/Q653874,Héric,Point(-1.6506 47.4133),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2888421,Q2888421,1795,http://www.wikidata.org/entity/Q2430230,Dondon,Point(-72.233 19.533),http://www.wikidata.org/entity/Q790,Haiti
http://www.wikidata.org/entity/Q840250,Battle of Mainz,1795,http://www.wikidata.org/entity/Q1720,Mainz,Point(8.266666666 50.0),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q840250,Battle of Mainz,1795,http://www.wikidata.org/entity/Q1720,Mainz,Point(8.27111 50.0),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q2889406,Q2889406,1795,http://www.wikidata.org/entity/Q1412058,Mouilleron-le-Captif,Point(-1.454166666 46.718055555),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q16898354,Battle of Pfeddersheim,1795,http://www.wikidata.org/entity/Q315735,Pfeddersheim,Point(8.2833 49.65),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q387215,Battle of Loano,1795,http://www.wikidata.org/entity/Q270782,Loano,Point(8.25 44.1167),http://www.wikidata.org/entity/Q38,Italy
